"customer_id","sex_id","age_id","nickname","password"
"1","1","6","롤케이크맛 쿠키","1"
"2","1","3","민트초코 쿠키","2"
"3","1","5","마법사맛 쿠키","3"
"4","2","6","락스타맛 쿠키","4"
"5","1","3","홍고추맛 쿠키","5"
"6","2","1","블랙베리맛 쿠키","6"
"7","1","3","구미호맛 쿠키","7"
"8","2","1","웨어울프맛 쿠키","8"
"9","2","1","라임맛 쿠키","9"
"10","1","6","체리맛 쿠키","10"
"11","1","6","눈설탕맛 쿠키","11"
"12","2","7","팬케이크맛 쿠키","12"
"13","2","5","달토끼맛 쿠키","13"
"14","1","7","시나몬맛 쿠키","14"
"15","1","3","코코아맛 쿠키","15"
"16","2","5","치어리더맛 쿠키","16"
"17","1","6","핑크초코쿠키","17"
"18","2","7","허브맛 쿠키","18"
"19","1","2","천사맛 쿠키","19"
"20","1","6","박하사탕맛 쿠키","20"
"21","1","6","대추맛 쿠키","21"
"22","1","2","레몬맛 쿠키","22"
"23","2","6","바나나맛 쿠키","23"
"24","2","7","피스타치오맛 쿠키","24"
"25","1","2","닌자맛 쿠키","25"
"26","2","5","슈크림맛 쿠키","26"
"27","2","5","의적맛 쿠키","27"
"28","1","3","화이트초코 쿠키","28"
"29","2","5","피겨여왕맛 쿠키","29"
"30","2","2","악마맛 쿠키","30"
"31","1","1","소다맛 쿠키","31"
"32","1","1","라즈베리맛 쿠키","32"
"33","1","1","블루파이맛 쿠키","33"
"34","1","1","치약맛 쿠키","34"
"35","1","4","자몽맛 쿠키","35"
"36","1","4","치킨맛 쿠키","36"
"37","1","4","피자맛 쿠키","37"
"38","1","4","블랙커런트맛 쿠키","38"
"39","2","3","블루베리맛 쿠키","39"
"40","2","3","밀크초코맛 쿠키","40"
"41","2","3","에일리언 쿠키","41"
"42","2","3","무화과맛 쿠키","42"
"43","2","4","메론맛 쿠키","43"
"44","2","4","수박맛 쿠키","44"
"45","2","4","한라봉맛 쿠키","45"
